Age,Income,LoanAmount,CreditScore,EmploymentYears,ExistingLoans,Approved
25,30000,50000,750,3,1,1
32,18000,100000,600,5,2,0
40,50000,150000,800,10,1,1
28,20000,120000,550,2,3,0
35,40000,80000,720,7,1,1
24,15000,90000,580,1,2,0
45,60000,200000,820,15,0,1
30,30000,70000,680,5,1,1
27,22000,150000,590,2,3,0
38,45000,100000,760,9,1,1
29,25000,110000,620,4,2,0
50,70000,250000,850,20,0,1
33,35000,90000,700,6,1,1
23,16000,80000,540,1,2,0
42,55000,130000,790,12,1,1
31,28000,140000,610,4,2,0
36,48000,120000,730,8,1,1
26,19000,100000,570,2,2,0
47,65000,180000,810,18,0,1
34,32000,90000,690,6,1,1
